COLUMN_NAME	TABLE_NAME	SAMPLE_TYPE	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	REFERENCE	UNITS
NLCD2001_WATERPCT_500	tblLANDSCAPE	LANDSCAPE	water - NLCD11 + 12 (% of 500m-clipped buffer)					percent
NLCD2001_WATERPCT_BSN	tblLANDSCAPE	LANDSCAPE	water - NLCD11 + 12 (% of basin area)					percent
NLCD2001_WETLANDPCT_1000	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of 1000m-clipped buffer)					percent
NLCD2001_WETLANDPCT_200	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of 200m-clipped buffer)					percent
NLCD2001_WETLANDPCT_500	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of 500m-clipped buffer)					percent
NLCD2001_WETLANDPCT_BSN	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of basin area)					percent
NLCD2006_11AREA_1000	tblLANDSCAPE	LANDSCAPE	open water (Meters Area in 1000m-clipped buffer)					
NLCD2006_11AREA_200	tblLANDSCAPE	LANDSCAPE	open water (Meters Area in 200m-clipped buffer)					
NLCD2006_11AREA_500	tblLANDSCAPE	LANDSCAPE	open water (Meters Area in 500m-clipped buffer)					
NLCD2006_11AREA_BSN	tblLANDSCAPE	LANDSCAPE	open water (Area in basin in meters)					
NLCD2006_11PCT_1000	tblLANDSCAPE	LANDSCAPE	open water (% of 1000m-clipped buffer)					percent
NLCD2006_11PCT_200	tblLANDSCAPE	LANDSCAPE	open water (% of 200m-clipped buffer)					percent
NLCD2006_11PCT_500	tblLANDSCAPE	LANDSCAPE	open water (% of 500m-clipped buffer)					percent
NLCD2006_11PCT_BSN	tblLANDSCAPE	LANDSCAPE	open water (% of basin area)					percent
NLCD2006_12AREA_1000	tblLANDSCAPE	LANDSCAPE	perennial ice (Meters Area in 1000m-clipped buffer)					
NLCD2006_12AREA_200	tblLANDSCAPE	LANDSCAPE	perennial ice (Meters Area in 200m-clipped buffer)					
NLCD2006_12AREA_500	tblLANDSCAPE	LANDSCAPE	perennial ice (Meters Area in 500m-clipped buffer)					
NLCD2006_12AREA_BSN	tblLANDSCAPE	LANDSCAPE	perennial ice (Area in basin in meters)					
NLCD2006_12PCT_1000	tblLANDSCAPE	LANDSCAPE	perennial ice (% of 1000m-clipped buffer)					percent
NLCD2006_12PCT_200	tblLANDSCAPE	LANDSCAPE	perennial ice (% of 200m-clipped buffer)					percent
NLCD2006_12PCT_500	tblLANDSCAPE	LANDSCAPE	perennial ice (% of 500m-clipped buffer)					percent
NLCD2006_12PCT_BSN	tblLANDSCAPE	LANDSCAPE	perennial ice (% of basin area)					percent
NLCD2006_21AREA_1000	tblLANDSCAPE	LANDSCAPE	"developed, open space (Meters Area in 1000m-clipped buffer)"					
NLCD2006_21AREA_200	tblLANDSCAPE	LANDSCAPE	"developed, open space (Meters Area in 200m-clipped buffer)"					
NLCD2006_21AREA_500	tblLANDSCAPE	LANDSCAPE	"developed, open space (Meters Area in 500m-clipped buffer)"					
NLCD2006_21AREA_BSN	tblLANDSCAPE	LANDSCAPE	"developed, open space (Area in basin in meters)"					
NLCD2006_21PCT_1000	tblLANDSCAPE	LANDSCAPE	"developed, open space (% of 1000m-clipped buffer)"					percent
NLCD2006_21PCT_200	tblLANDSCAPE	LANDSCAPE	"developed, open space (% of 200m-clipped buffer)"					percent
NLCD2006_21PCT_500	tblLANDSCAPE	LANDSCAPE	"developed, open space (% of 500m-clipped buffer)"					percent
NLCD2006_21PCT_BSN	tblLANDSCAPE	LANDSCAPE	"developed, open space (% of basin area)"					percent
NLCD2006_22AREA_1000	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (Meters Area in 1000m-clipped buffer)"					
NLCD2006_22AREA_200	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (Meters Area in 200m-clipped buffer)"					
NLCD2006_22AREA_500	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (Meters Area in 500m-clipped buffer)"					
NLCD2006_22AREA_BSN	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (Area in basin in meters)"					
NLCD2006_22PCT_1000	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (% of 1000m-clipped buffer)"					percent
NLCD2006_22PCT_200	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (% of 200m-clipped buffer)"					percent
NLCD2006_22PCT_500	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (% of 500m-clipped buffer)"					percent
NLCD2006_22PCT_BSN	tblLANDSCAPE	LANDSCAPE	"developed, low intensity (% of basin area)"					percent
NLCD2006_23AREA_1000	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (Meters Area in 1000m-clipped buffer)"					
NLCD2006_23AREA_200	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (Meters Area in 200m-clipped buffer)"					
NLCD2006_23AREA_500	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (Meters Area in 500m-clipped buffer)"					
NLCD2006_23AREA_BSN	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (Area in basin in meters)"					
NLCD2006_23PCT_1000	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (% of 1000m-clipped buffer)"					percent
NLCD2006_23PCT_200	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (% of 200m-clipped buffer)"					percent
NLCD2006_23PCT_500	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (% of 500m-clipped buffer)"					percent
NLCD2006_23PCT_BSN	tblLANDSCAPE	LANDSCAPE	"developed, medium intensity (% of basin area)"					percent
NLCD2006_24AREA_1000	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (Meters Area in 1000m-clipped buffer)"					
NLCD2006_24AREA_200	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (Meters Area in 200m-clipped buffer)"					
NLCD2006_24AREA_500	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (Meters Area in 500m-clipped buffer)"					
NLCD2006_24AREA_BSN	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (Area in basin in meters)"					
NLCD2006_24PCT_1000	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (% of 1000m-clipped buffer)"					percent
NLCD2006_24PCT_200	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (% of 200m-clipped buffer)"					percent
NLCD2006_24PCT_500	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (% of 500m-clipped buffer)"					percent
NLCD2006_24PCT_BSN	tblLANDSCAPE	LANDSCAPE	"developed, high intensity (% of basin area)"					percent
NLCD2006_31AREA_1000	tblLANDSCAPE	LANDSCAPE	barren land (Meters Area in 1000m-clipped buffer)					
NLCD2006_31AREA_200	tblLANDSCAPE	LANDSCAPE	barren land (Meters Area in 200m-clipped buffer)					
NLCD2006_31AREA_500	tblLANDSCAPE	LANDSCAPE	barren land (Meters Area in 500m-clipped buffer)					
NLCD2006_31AREA_BSN	tblLANDSCAPE	LANDSCAPE	barren land (Area in basin in meters)					
NLCD2006_31PCT_1000	tblLANDSCAPE	LANDSCAPE	barren land (% of 1000m-clipped buffer)					percent
NLCD2006_31PCT_200	tblLANDSCAPE	LANDSCAPE	barren land (% of 200m-clipped buffer)					percent
NLCD2006_31PCT_500	tblLANDSCAPE	LANDSCAPE	barren land (% of 500m-clipped buffer)					percent
NLCD2006_31PCT_BSN	tblLANDSCAPE	LANDSCAPE	barren land (% of basin area)					percent
NLCD2006_41AREA_1000	tblLANDSCAPE	LANDSCAPE	deciduous forest (Meters Area in 1000m-clipped buffer)					
NLCD2006_41AREA_200	tblLANDSCAPE	LANDSCAPE	deciduous forest (Meters Area in 200m-clipped buffer)					
NLCD2006_41AREA_500	tblLANDSCAPE	LANDSCAPE	deciduous forest (Meters Area in 500m-clipped buffer)					
NLCD2006_41AREA_BSN	tblLANDSCAPE	LANDSCAPE	deciduous forest (Area in basin in meters)					
NLCD2006_41PCT_1000	tblLANDSCAPE	LANDSCAPE	deciduous forest (% of 1000m-clipped buffer)					percent
NLCD2006_41PCT_200	tblLANDSCAPE	LANDSCAPE	deciduous forest (% of 200m-clipped buffer)					percent
NLCD2006_41PCT_500	tblLANDSCAPE	LANDSCAPE	deciduous forest (% of 500m-clipped buffer)					percent
NLCD2006_41PCT_BSN	tblLANDSCAPE	LANDSCAPE	deciduous forest (% of basin area)					percent
NLCD2006_42AREA_1000	tblLANDSCAPE	LANDSCAPE	evergreen forest (Meters Area in 1000m-clipped buffer)					
NLCD2006_42AREA_200	tblLANDSCAPE	LANDSCAPE	evergreen forest (Meters Area in 200m-clipped buffer)					
NLCD2006_42AREA_500	tblLANDSCAPE	LANDSCAPE	evergreen forest (Meters Area in 500m-clipped buffer)					
NLCD2006_42AREA_BSN	tblLANDSCAPE	LANDSCAPE	evergreen forest (Area in basin in meters)					
NLCD2006_42PCT_1000	tblLANDSCAPE	LANDSCAPE	evergreen forest (% of 1000m-clipped buffer)					percent
NLCD2006_42PCT_200	tblLANDSCAPE	LANDSCAPE	evergreen forest (% of 200m-clipped buffer)					percent
NLCD2006_42PCT_500	tblLANDSCAPE	LANDSCAPE	evergreen forest (% of 500m-clipped buffer)					percent
NLCD2006_42PCT_BSN	tblLANDSCAPE	LANDSCAPE	evergreen forest (% of basin area)					percent
NLCD2006_43AREA_1000	tblLANDSCAPE	LANDSCAPE	mixed forest (Meters Area in 1000m-clipped buffer)					
NLCD2006_43AREA_200	tblLANDSCAPE	LANDSCAPE	mixed forest (Meters Area in 200m-clipped buffer)					
NLCD2006_43AREA_500	tblLANDSCAPE	LANDSCAPE	mixed forest (Meters Area in 500m-clipped buffer)					
NLCD2006_43AREA_BSN	tblLANDSCAPE	LANDSCAPE	mixed forest (Area in basin in meters)					
NLCD2006_43PCT_1000	tblLANDSCAPE	LANDSCAPE	mixed forest (% of 1000m-clipped buffer)					percent
NLCD2006_43PCT_200	tblLANDSCAPE	LANDSCAPE	mixed forest (% of 200m-clipped buffer)					percent
NLCD2006_43PCT_500	tblLANDSCAPE	LANDSCAPE	mixed forest (% of 500m-clipped buffer)					percent
NLCD2006_43PCT_BSN	tblLANDSCAPE	LANDSCAPE	mixed forest (% of basin area)					percent
NLCD2006_51AREA_1000	tblLANDSCAPE	LANDSCAPE	dwarf scrub (Meters Area in 1000m-clipped buffer)					
NLCD2006_51AREA_200	tblLANDSCAPE	LANDSCAPE	dwarf scrub (Meters Area in 200m-clipped buffer)					
NLCD2006_51AREA_500	tblLANDSCAPE	LANDSCAPE	dwarf scrub (Meters Area in 500m-clipped buffer)					
NLCD2006_51AREA_BSN	tblLANDSCAPE	LANDSCAPE	dwarf scrub (Area in basin in meters)					
NLCD2006_51PCT_1000	tblLANDSCAPE	LANDSCAPE	dwarf scrub (% of 1000m-clipped buffer)					percent
NLCD2006_51PCT_200	tblLANDSCAPE	LANDSCAPE	dwarf scrub (% of 200m-clipped buffer)					percent
NLCD2006_51PCT_500	tblLANDSCAPE	LANDSCAPE	dwarf scrub (% of 500m-clipped buffer)					percent
NLCD2006_51PCT_BSN	tblLANDSCAPE	LANDSCAPE	dwarf scrub (% of basin area)					percent
NLCD2006_52AREA_1000	tblLANDSCAPE	LANDSCAPE	shrub/scrub (Meters Area in 1000m-clipped buffer)					
NLCD2006_52AREA_200	tblLANDSCAPE	LANDSCAPE	shrub/scrub (Meters Area in 200m-clipped buffer)					
NLCD2006_52AREA_500	tblLANDSCAPE	LANDSCAPE	shrub/scrub (Meters Area in 500m-clipped buffer)					
NLCD2006_52AREA_BSN	tblLANDSCAPE	LANDSCAPE	shrub/scrub (Area in basin in meters)					
NLCD2006_52PCT_1000	tblLANDSCAPE	LANDSCAPE	shrub/scrub (% of 1000m-clipped buffer)					percent
NLCD2006_52PCT_200	tblLANDSCAPE	LANDSCAPE	shrub/scrub (% of 200m-clipped buffer)					percent
NLCD2006_52PCT_500	tblLANDSCAPE	LANDSCAPE	shrub/scrub (% of 500m-clipped buffer)					percent
NLCD2006_52PCT_BSN	tblLANDSCAPE	LANDSCAPE	shrub/scrub (% of basin area)					percent
NLCD2006_71AREA_1000	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (Meters Area in 1000m-clipped buffer)					
NLCD2006_71AREA_200	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (Meters Area in 200m-clipped buffer)					
NLCD2006_71AREA_500	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (Meters Area in 500m-clipped buffer)					
NLCD2006_71AREA_BSN	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (Area in basin in meters)					
NLCD2006_71PCT_1000	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (% of 1000m-clipped buffer)					percent
NLCD2006_71PCT_200	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (% of 200m-clipped buffer)					percent
NLCD2006_71PCT_500	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (% of 500m-clipped buffer)					percent
NLCD2006_71PCT_BSN	tblLANDSCAPE	LANDSCAPE	grassland/herbaceous (% of basin area)					percent
NLCD2006_72AREA_1000	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (Meters Area in 1000m-clipped buffer)					
NLCD2006_72AREA_200	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (Meters Area in 200m-clipped buffer)					
NLCD2006_72AREA_500	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (Meters Area in 500m-clipped buffer)					
NLCD2006_72AREA_BSN	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (Area in basin in meters)					
NLCD2006_72PCT_1000	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (% of 1000m-clipped buffer)					percent
NLCD2006_72PCT_200	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (% of 200m-clipped buffer)					percent
NLCD2006_72PCT_500	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (% of 500m-clipped buffer)					percent
NLCD2006_72PCT_BSN	tblLANDSCAPE	LANDSCAPE	sedge herbaceous (% of basin area)					percent
NLCD2006_73AREA_1000	tblLANDSCAPE	LANDSCAPE	lichens (Meters Area in 1000m-clipped buffer)					
NLCD2006_73AREA_200	tblLANDSCAPE	LANDSCAPE	lichens (Meters Area in 200m-clipped buffer)					
NLCD2006_73AREA_500	tblLANDSCAPE	LANDSCAPE	lichens (Meters Area in 500m-clipped buffer)					
NLCD2006_73AREA_BSN	tblLANDSCAPE	LANDSCAPE	lichens (Area in basin in meters)					
NLCD2006_73PCT_1000	tblLANDSCAPE	LANDSCAPE	lichens (% of 1000m-clipped buffer)					percent
NLCD2006_73PCT_200	tblLANDSCAPE	LANDSCAPE	lichens (% of 200m-clipped buffer)					percent
NLCD2006_73PCT_500	tblLANDSCAPE	LANDSCAPE	lichens (% of 500m-clipped buffer)					percent
NLCD2006_73PCT_BSN	tblLANDSCAPE	LANDSCAPE	lichens (% of basin area)					percent
NLCD2006_74AREA_1000	tblLANDSCAPE	LANDSCAPE	moss (Meters Area in 1000m-clipped buffer)					
NLCD2006_74AREA_200	tblLANDSCAPE	LANDSCAPE	moss (Meters Area in 200m-clipped buffer)					
NLCD2006_74AREA_500	tblLANDSCAPE	LANDSCAPE	moss (Meters Area in 500m-clipped buffer)					
NLCD2006_74AREA_BSN	tblLANDSCAPE	LANDSCAPE	moss (Area in basin in meters)					
NLCD2006_74PCT_1000	tblLANDSCAPE	LANDSCAPE	moss (% of 1000m-clipped buffer)					percent
NLCD2006_74PCT_200	tblLANDSCAPE	LANDSCAPE	moss (% of 200m-clipped buffer)					percent
NLCD2006_74PCT_500	tblLANDSCAPE	LANDSCAPE	moss (% of 500m-clipped buffer)					percent
NLCD2006_74PCT_BSN	tblLANDSCAPE	LANDSCAPE	moss (% of basin area)					percent
NLCD2006_81AREA_1000	tblLANDSCAPE	LANDSCAPE	pasture/hay (Meters Area in 1000m-clipped buffer)					
NLCD2006_81AREA_200	tblLANDSCAPE	LANDSCAPE	pasture/hay (Meters Area in 200m-clipped buffer)					
NLCD2006_81AREA_500	tblLANDSCAPE	LANDSCAPE	pasture/hay (Meters Area in 500m-clipped buffer)					
NLCD2006_81AREA_BSN	tblLANDSCAPE	LANDSCAPE	pasture/hay (Area in basin in meters)					
NLCD2006_81PCT_1000	tblLANDSCAPE	LANDSCAPE	pasture/hay (% of 1000m-clipped buffer)					percent
NLCD2006_81PCT_200	tblLANDSCAPE	LANDSCAPE	pasture/hay (% of 200m-clipped buffer)					percent
NLCD2006_81PCT_500	tblLANDSCAPE	LANDSCAPE	pasture/hay (% of 500m-clipped buffer)					percent
NLCD2006_81PCT_BSN	tblLANDSCAPE	LANDSCAPE	pasture/hay (% of basin area)					percent
NLCD2006_82AREA_1000	tblLANDSCAPE	LANDSCAPE	cultivated crops (Meters Area in 1000m-clipped buffer)					
NLCD2006_82AREA_200	tblLANDSCAPE	LANDSCAPE	cultivated crops (Meters Area in 200m-clipped buffer)					
NLCD2006_82AREA_500	tblLANDSCAPE	LANDSCAPE	cultivated crops (Meters Area in 500m-clipped buffer)					
NLCD2006_82AREA_BSN	tblLANDSCAPE	LANDSCAPE	cultivated crops (Area in basin in meters)					
NLCD2006_82PCT_1000	tblLANDSCAPE	LANDSCAPE	cultivated crops (% of 1000m-clipped buffer)					percent
NLCD2006_82PCT_200	tblLANDSCAPE	LANDSCAPE	cultivated crops (% of 200m-clipped buffer)					percent
NLCD2006_82PCT_500	tblLANDSCAPE	LANDSCAPE	cultivated crops (% of 500m-clipped buffer)					percent
NLCD2006_82PCT_BSN	tblLANDSCAPE	LANDSCAPE	cultivated crops (% of basin area)					percent
NLCD2006_90AREA_1000	tblLANDSCAPE	LANDSCAPE	woody wetlands (Meters Area in 1000m-clipped buffer)					
NLCD2006_90AREA_200	tblLANDSCAPE	LANDSCAPE	woody wetlands (Meters Area in 200m-clipped buffer)					
NLCD2006_90AREA_500	tblLANDSCAPE	LANDSCAPE	woody wetlands (Meters Area in 500m-clipped buffer)					
NLCD2006_90AREA_BSN	tblLANDSCAPE	LANDSCAPE	woody wetlands (Area in basin in meters)					
NLCD2006_90PCT_1000	tblLANDSCAPE	LANDSCAPE	woody wetlands (% of 1000m-clipped buffer)					percent
NLCD2006_90PCT_200	tblLANDSCAPE	LANDSCAPE	woody wetlands (% of 200m-clipped buffer)					percent
NLCD2006_90PCT_500	tblLANDSCAPE	LANDSCAPE	woody wetlands (% of 500m-clipped buffer)					percent
NLCD2006_90PCT_BSN	tblLANDSCAPE	LANDSCAPE	woody wetlands (% of basin area)					percent
NLCD2006_95AREA_1000	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (Meters Area in 1000m-clipped buffer)					
NLCD2006_95AREA_200	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (Meters Area in 200m-clipped buffer)					
NLCD2006_95AREA_500	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (Meters Area in 500m-clipped buffer)					
NLCD2006_95AREA_BSN	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (Area in basin in meters)					
NLCD2006_95PCT_1000	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (% of 1000m-clipped buffer)					percent
NLCD2006_95PCT_200	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (% of 200m-clipped buffer)					percent
NLCD2006_95PCT_500	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (% of 500m-clipped buffer)					percent
NLCD2006_95PCT_BSN	tblLANDSCAPE	LANDSCAPE	emergent herbaceious wetland (% of basin area)					percent
NLCD2006_AGRICPCT_1000	tblLANDSCAPE	LANDSCAPE	planted/cultivated - NLCD81 + 82 (% of 1000m-clipped buffer)					percent
NLCD2006_AGRICPCT_200	tblLANDSCAPE	LANDSCAPE	planted/cultivated - NLCD81 + 82 (% of 200m-clipped buffer)					percent
NLCD2006_AGRICPCT_500	tblLANDSCAPE	LANDSCAPE	planted/cultivated - NLCD81 + 82 (% of 500m-clipped buffer)					percent
NLCD2006_AGRICPCT_BSN	tblLANDSCAPE	LANDSCAPE	planted/cultivated - NLCD81 + 82 (% of basin area)					percent
NLCD2006_ASSIGNEDAREA_1000	tblLANDSCAPE	LANDSCAPE	Area within 1000 m buffer with NLCD 2006 value assigned					sq km
NLCD2006_ASSIGNEDAREA_200	tblLANDSCAPE	LANDSCAPE	Area within 200 m buffer with NLCD 2006 value assigned					sq km
NLCD2006_ASSIGNEDAREA_500	tblLANDSCAPE	LANDSCAPE	Area within 500 m buffer with NLCD 2006 value assigned					sq km
NLCD2006_ASSIGNEDAREA_BSN	tblLANDSCAPE	LANDSCAPE	Area within basin with NLCD 2006 value assigned					sq km
NLCD2006_DEVELOPEDPCT_1000	tblLANDSCAPE	LANDSCAPE	developed - NLCD21 + 22 + 23 + 24 (% of 1000m-clipped buffer)					percent
NLCD2006_DEVELOPEDPCT_200	tblLANDSCAPE	LANDSCAPE	developed - NLCD21 + 22 + 23 + 24 (% of 200m-clipped buffer)					percent
NLCD2006_DEVELOPEDPCT_500	tblLANDSCAPE	LANDSCAPE	developed - NLCD21 + 22 + 23 + 24 (% of 500m-clipped buffer)					percent
NLCD2006_DEVELOPEDPCT_BSN	tblLANDSCAPE	LANDSCAPE	developed - NLCD21 + 22 + 23 + 24 (% of basin area)					percent
NLCD2006_FORESTPCT_1000	tblLANDSCAPE	LANDSCAPE	forested upland - NLCD41 + 42 + 43 (% of 1000m-clipped buffer)					percent
NLCD2006_FORESTPCT_200	tblLANDSCAPE	LANDSCAPE	forested upland - NLCD41 + 42 + 43 (% of 200m-clipped buffer)					percent
NLCD2006_FORESTPCT_500	tblLANDSCAPE	LANDSCAPE	forested upland - NLCD41 + 42 + 43 (% of 500m-clipped buffer)					percent
NLCD2006_FORESTPCT_BSN	tblLANDSCAPE	LANDSCAPE	forested upland - NLCD41 + 42 + 43 (% of basin area)					percent
NLCD2006_IMPERVAREA_1000	tblLANDSCAPE	LANDSCAPE	Imperviouis surface (Area in 1000m-clipped buffer in meters)					
NLCD2006_IMPERVAREA_200	tblLANDSCAPE	LANDSCAPE	Imperviouis surface (Area in 200m-clipped buffer in meters)					
NLCD2006_IMPERVAREA_500	tblLANDSCAPE	LANDSCAPE	Imperviouis surface (Area in 500m-clipped buffer in meters)					
NLCD2006_IMPERVAREA_BSN	tblLANDSCAPE	LANDSCAPE	Imperviouis surface (Area in basin in meters)					
NLCD2006_IMPERVPCT_1000	tblLANDSCAPE	LANDSCAPE	Impervious surface (% of 1000m-clipped buffer area)					percent
NLCD2006_IMPERVPCT_200	tblLANDSCAPE	LANDSCAPE	Impervious surface (% of 200m-clipped buffer area)					percent
NLCD2006_IMPERVPCT_500	tblLANDSCAPE	LANDSCAPE	Impervious surface (% of 500m-clipped buffer area)					percent
NLCD2006_IMPERVPCT_BSN	tblLANDSCAPE	LANDSCAPE	Impervious surface (% of basin area)					percent
NLCD2006_MISSINGDATA_IM_1000	tblLANDSCAPE	LANDSCAPE	% of 1000m-clipped buffer not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_IM_200	tblLANDSCAPE	LANDSCAPE	% of 200m-clipped buffer not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_IM_500	tblLANDSCAPE	LANDSCAPE	% of 500m-clipped buffer not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_IM_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_LU_1000	tblLANDSCAPE	LANDSCAPE	% of 1000m-clipped buffer not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_LU_200	tblLANDSCAPE	LANDSCAPE	% of 200m-clipped buffer not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_LU_500	tblLANDSCAPE	LANDSCAPE	% of 500m-clipped buffer not covered by NLCD2006					percent
NLCD2006_MISSINGDATA_LU_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by NLCD2006					percent
NLCD2006_WATERPCT_1000	tblLANDSCAPE	LANDSCAPE	water - NLCD11 + 12 (% of 1000m-clipped buffer)					percent
NLCD2006_WATERPCT_200	tblLANDSCAPE	LANDSCAPE	water - NLCD11 + 12 (% of 200m-clipped buffer)					percent
NLCD2006_WATERPCT_500	tblLANDSCAPE	LANDSCAPE	water - NLCD11 + 12 (% of 500m-clipped buffer)					percent
NLCD2006_WATERPCT_BSN	tblLANDSCAPE	LANDSCAPE	water - NLCD11 + 12 (% of basin area)					percent
NLCD2006_WETLANDPCT_1000	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of 1000m-clipped buffer)					percent
NLCD2006_WETLANDPCT_200	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of 200m-clipped buffer)					percent
NLCD2006_WETLANDPCT_500	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of 500m-clipped buffer)					percent
NLCD2006_WETLANDPCT_BSN	tblLANDSCAPE	LANDSCAPE	wetlands - NLCD90 + 95 (% of basin area)					percent
PCVPY_BSN	tblLANDSCAPE	LANDSCAPE	CV of total monthly precip (12 months)					
PCVPY_PT	tblLANDSCAPE	LANDSCAPE	CV of total monthly precip (12 months)					
PERM_MISSINGDATA_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by Permeability Raster					percent
PERM_MISSINGDATA_SITE	tblLANDSCAPE	LANDSCAPE	"Value of 100 if permeability data available, 0 if not."					percent
PERMRATE_BSN	tblLANDSCAPE	LANDSCAPE	Average permeability rate in basin					
PERMRATE_SITE	tblLANDSCAPE	LANDSCAPE	Permeability rate at site					
PIP_BSN	tblLANDSCAPE	LANDSCAPE	total average precipitation during index period (5 months)					
PIP_PT	tblLANDSCAPE	LANDSCAPE	total average precipitation during index period (5 months)					
PMAX_BSN	tblLANDSCAPE	LANDSCAPE	mean maximum precipitation (30 yrs)					
PMAX_PT	tblLANDSCAPE	LANDSCAPE	mean maximum precipitation (30 yrs)					
PMEAN_BSN	tblLANDSCAPE	LANDSCAPE	mean annual precipitation (30 yrs)					
PMEAN_PT	tblLANDSCAPE	LANDSCAPE	mean annual precipitation (30 yrs)					
PMIN_BSN	tblLANDSCAPE	LANDSCAPE	mean minimum precipitation (30 yrs)					
PMIN_PT	tblLANDSCAPE	LANDSCAPE	mean minimum precipitation (30 yrs)					
POPDEN_1000	tblLANDSCAPE	LANDSCAPE	Population Density in 1000m-Clipped Buffer (People/sqmi)					People/sqmi
POPDEN_200	tblLANDSCAPE	LANDSCAPE	Population Density in 200m-Clipped Buffer (People/sqmi)					People/sqmi
POPDEN_500	tblLANDSCAPE	LANDSCAPE	Population Density in 200m-Clipped Buffer (People/sqmi)					People/sqmi
POPDEN_BSN	tblLANDSCAPE	LANDSCAPE	Population Density in Basin (People/sqmi)					People/sqmi
POPDEN_MISSINGDATA_1000	tblLANDSCAPE	LANDSCAPE	% of 1000m-clipped buffer not covered by Population Density Raster					percent
POPDEN_MISSINGDATA_200	tblLANDSCAPE	LANDSCAPE	% of 200m-clipped buffer not covered by Population Density Raster					percent
POPDEN_MISSINGDATA_500	tblLANDSCAPE	LANDSCAPE	% of 500m-clipped buffer not covered by Population Density Raster					percent
POPDEN_MISSINGDATA_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by Population Density Raster					percent
PRISM_MISSINGDATA_BSN	tblLANDSCAPE	LANDSCAPE	% of Basin not covered by Prism Rasters					percent
PRISM_MISSINGDATA_PT	tblLANDSCAPE	LANDSCAPE	"0, if site has PRISM data, otherwise 100"					
PSUM6M_BSN	tblLANDSCAPE	LANDSCAPE	total average precipitation for 6 months prior to sampling (6 months)					
PSUM6M_PT	tblLANDSCAPE	LANDSCAPE	total average precipitation for 6 months prior to sampling (6 months)					
